time;src_ip;src_port;dst_ip;dst_port;flags;length
11:42:04.766656;BP-Linux8;ssh;192.168.190.130;50019;P.;108
11:42:04.766694;BP-Linux8;ssh;192.168.190.130;50019;P.;36
11:42:04.766723;BP-Linux8;ssh;192.168.190.130;50019;P.;108
11:42:04.766744;BP-Linux8;ssh;192.168.190.130;50019;P.;36
11:42:04.785366;192.168.190.130;50019;BP-Linux8;ssh;.;0
11:42:04.785384;192.168.190.130;50019;BP-Linux8;ssh;.;0
11:42:04.785406;192.168.190.130;50019;BP-Linux8;ssh;.;0
11:42:04.785454;192.168.190.130;50019;BP-Linux8;ssh;.;0
11:42:06.669393;192.168.190.130;50245;BP-Linux8;ssh;P.;36
11:42:06.669906;BP-Linux8;ssh;192.168.190.130;50245;P.;36
11:42:06.681188;BP-Linux8;ssh;192.168.190.130;50245;P.;116
11:42:06.681222;BP-Linux8;ssh;192.168.190.130;50245;P.;36
11:42:06.681248;190-0-175-100.gba.solunet.com.ar;2465;184.107.43.74;http;S;120
11:42:06.681274;190-0-175-100.gba.solunet.com.ar;2466;184.107.43.74;http;S;120
11:42:06.681294;190-0-175-100.gba.solunet.com.ar;2467;184.107.43.74;http;S;120
11:42:06.681312;190-0-175-100.gba.solunet.com.ar;2468;184.107.43.74;http;S;120
11:42:06.681328;190-0-175-100.gba.solunet.com.ar;2469;184.107.43.74;http;S;120
11:42:06.681345;190-0-175-100.gba.solunet.com.ar;2470;184.107.43.74;http;S;120
11:42:06.681362;190-0-175-100.gba.solunet.com.ar;2471;184.107.43.74;http;S;120
11:42:06.681379;190-0-175-100.gba.solunet.com.ar;2472;184.107.43.74;http;S;120
11:42:06.681396;190-0-175-100.gba.solunet.com.ar;2473;184.107.43.74;http;S;120
11:42:06.681413;190-0-175-100.gba.solunet.com.ar;2474;184.107.43.74;http;S;120
11:42:06.681430;190-0-175-100.gba.solunet.com.ar;2475;184.107.43.74;http;S;120
11:42:06.681446;190-0-175-100.gba.solunet.com.ar;2476;184.107.43.74;http;S;120
11:42:06.681463;190-0-175-100.gba.solunet.com.ar;2477;184.107.43.74;http;S;120
11:42:06.681480;190-0-175-100.gba.solunet.com.ar;2478;184.107.43.74;http;S;120
11:42:06.681497;190-0-175-100.gba.solunet.com.ar;2479;184.107.43.74;http;S;120
11:42:06.681514;190-0-175-100.gba.solunet.com.ar;2480;184.107.43.74;http;S;120
11:42:06.681531;190-0-175-100.gba.solunet.com.ar;2481;184.107.43.74;http;S;120
11:42:06.681548;190-0-175-100.gba.solunet.com.ar;2482;184.107.43.74;http;S;120
11:42:06.681564;190-0-175-100.gba.solunet.com.ar;2483;184.107.43.74;http;S;120
11:42:06.681581;190-0-175-100.gba.solunet.com.ar;2484;184.107.43.74;http;S;120
11:42:06.681597;190-0-175-100.gba.solunet.com.ar;2485;184.107.43.74;http;S;120
11:42:06.681614;190-0-175-100.gba.solunet.com.ar;2486;184.107.43.74;http;S;120
11:42:06.681630;190-0-175-100.gba.solunet.com.ar;2487;184.107.43.74;http;S;120
11:42:06.681647;190-0-175-100.gba.solunet.com.ar;2488;184.107.43.74;http;S;120
11:42:06.681664;190-0-175-100.gba.solunet.com.ar;2489;184.107.43.74;http;S;120
11:42:06.681681;190-0-175-100.gba.solunet.com.ar;2490;184.107.43.74;http;S;120
11:42:06.681697;190-0-175-100.gba.solunet.com.ar;2491;184.107.43.74;http;S;120
11:42:06.681722;190-0-175-100.gba.solunet.com.ar;2492;184.107.43.74;http;S;120
11:42:06.681739;190-0-175-100.gba.solunet.com.ar;2493;184.107.43.74;http;S;120
11:42:06.681756;190-0-175-100.gba.solunet.com.ar;2494;184.107.43.74;http;S;120
11:42:06.681773;190-0-175-100.gba.solunet.com.ar;2495;184.107.43.74;http;S;120
11:42:06.681789;190-0-175-100.gba.solunet.com.ar;2496;184.107.43.74;http;S;120
11:42:06.681806;190-0-175-100.gba.solunet.com.ar;2497;184.107.43.74;http;S;120
11:42:06.681823;190-0-175-100.gba.solunet.com.ar;2498;184.107.43.74;http;S;120
11:42:06.681839;190-0-175-100.gba.solunet.com.ar;2499;184.107.43.74;http;S;120
11:42:06.681856;190-0-175-100.gba.solunet.com.ar;2500;184.107.43.74;http;S;120
11:42:06.681872;190-0-175-100.gba.solunet.com.ar;2501;184.107.43.74;http;S;120
11:42:06.681889;190-0-175-100.gba.solunet.com.ar;2502;184.107.43.74;http;S;120
